price,livingArea,bedrooms,bathrooms,yearBuilt,homeType,garageSpaces,streetAddress,city,latitude,longitude,house_age
1095000.0,1984.0,3.0,2.0,1964,CONDO,0.0,630 S Orange Grove Blvd APT 2,Pasadena,34.134971618652344,-118.15834045410156,62
958000.0,1940.0,3.0,3.0,2008,TOWNHOUSE,2.0,68 N Allen Ave UNIT 10,Pasadena,34.147228240966804,-118.1127700805664,18
859000.0,1245.0,2.0,3.0,1989,TOWNHOUSE,2.0,398 E Del Mar Blvd,Pasadena,34.14011001586914,-118.14228057861328,37
639888.0,1000.0,2.0,1.0,1928,SINGLE_FAMILY,1.0,810 Lincoln Ave,Pasadena,34.158740997314446,-118.15628051757812,98
949000.0,1620.0,4.0,3.0,1908,SINGLE_FAMILY,2.0,130 N Greenwood Ave,Pasadena,34.14834213256836,-118.11038970947266,118
25000000.0,10458.0,6.0,5.0,1918,SINGLE_FAMILY,6.0,999 Rosalind Rd,San Marino,34.128646850585945,-118.12564849853516,108
649000.0,1220.0,3.0,3.0,1987,CONDO,2.0,64 N Mar Vista Ave APT 127,Pasadena,34.147327423095696,-118.12631225585938,39
589000.0,630.0,1.0,1.0,1923,SINGLE_FAMILY,1.0,449 N Hill Ave,Pasadena,34.153823852539055,-118.12164306640624,103
2680000.0,2492.0,3.0,3.0,1948,SINGLE_FAMILY,2.0,1235 Saint Albans Rd,San Marino,34.119110107421875,-118.12511444091795,78
1325000.0,1954.0,3.0,3.0,1973,TOWNHOUSE,0.0,1565 Whiterock Cir,San Jose,37.29209899902344,-121.90880584716795,53
1450000.0,1392.0,3.0,2.0,1939,SINGLE_FAMILY,0.0,1450 Bird Ave,San Jose,37.30681228637695,-121.8902816772461,87
2499999.0,2536.0,5.0,4.0,1958,SINGLE_FAMILY,0.0,1625 Fairwood Ave,San Jose,37.28248596191406,-121.90428924560548,68
2475000.0,2843.0,4.0,3.0,2019,SINGLE_FAMILY,2.0,1165 Prevost St,San Jose,37.312591552734375,-121.88971710205078,7
999000.0,1951.0,3.0,3.0,2004,SINGLE_FAMILY,0.0,233 Meadow Pine Pl,San Jose,37.2965202331543,-121.86685180664062,22
1699000.0,1596.0,3.0,2.0,1956,SINGLE_FAMILY,0.0,2946 Cottle Ave,San Jose,37.277565002441406,-121.88658905029295,70
899000.0,1152.0,2.0,1.0,1935,SINGLE_FAMILY,0.0,361 W Virginia St,San Jose,37.32016754150391,-121.89109802246094,91
1398888.0,1513.0,3.0,2.0,1950,SINGLE_FAMILY,0.0,1849 Ellen Ave,San Jose,37.29827499389648,-121.88793182373048,76
1349000.0,1706.0,2.0,2.0,1947,SINGLE_FAMILY,0.0,1215 Curtner Ave,San Jose,37.288795471191406,-121.89148712158205,79
649000.0,1071.0,2.0,2.0,1984,CONDO,0.0,1544 Alma Ter,San Jose,37.30778503417969,-121.88493347167967,42
1598000.0,1826.0,4.0,2.0,1964,SINGLE_FAMILY,0.0,1565 Creek Dr,San Jose,37.30621719360352,-121.88458251953124,62
1250000.0,1743.0,3.0,2.0,1973,TOWNHOUSE,0.0,1584 Whiterock Cir,San Jose,37.29143524169922,-121.90876007080078,53
1849000.0,2399.0,3.0,3.0,1963,SINGLE_FAMILY,0.0,1506 Cherry Garden Ln,San Jose,37.27990341186523,-121.89601135253906,63
2598000.0,3049.0,4.0,4.0,1955,SINGLE_FAMILY,0.0,1340 Koch Ln,San Jose,37.279930114746094,-121.8896026611328,71
1250000.0,1167.0,2.0,1.0,1950,SINGLE_FAMILY,0.0,1861 Bird Ave,San Jose,37.29995346069336,-121.88471221923828,76
1299000.0,1266.0,2.0,1.0,1941,SINGLE_FAMILY,0.0,1144 Malone Rd,San Jose,37.292579650878906,-121.89144897460938,85
675000.0,1312.0,3.0,2.0,1964,CONDO,0.0,1898 Meridian Ave UNIT 48,San Jose,37.28926086425781,-121.91314697265624,62
1690000.0,1720.0,3.0,3.0,1945,SINGLE_FAMILY,0.0,1558 Minnesota Ave,San Jose,37.30073547363281,-121.9120635986328,81
1199999.0,1529.0,4.0,3.0,1916,SINGLE_FAMILY,0.0,352 Jerome St,San Jose,37.31834411621094,-121.8908920288086,110
1589000.0,1720.0,4.0,2.0,1955,SINGLE_FAMILY,0.0,1501 Grace Ave,San Jose,37.29789733886719,-121.919189453125,71
1250000.0,886.0,2.0,1.0,1922,SINGLE_FAMILY,0.0,888 Pine Ave,San Jose,37.30065536499024,-121.88753509521484,104
799000.0,904.0,1.0,1.0,1942,SINGLE_FAMILY,0.0,375 Perrymont Ave,San Jose,37.30060958862305,-121.87041473388672,84
815000.0,1008.0,2.0,2.0,1971,TOWNHOUSE,0.0,1483 Glenpine Dr,San Jose,37.30111312866211,-121.8990478515625,55
2298000.0,2673.0,5.0,3.0,1973,SINGLE_FAMILY,0.0,1742 Dorrance Dr,San Jose,37.28474044799805,-121.9122543334961,53
1595000.0,2090.0,4.0,2.0,1909,SINGLE_FAMILY,0.0,1442 W Sunset Blvd,Los Angeles,34.074729919433594,-118.25348663330078,117
1425000.0,1665.0,3.0,3.0,1922,SINGLE_FAMILY,0.0,637 Robinson St,Los Angeles,34.07987594604492,-118.2797622680664,104
720000.0,930.0,1.0,1.0,2009,CONDO,1.0,901 S Flower St UNIT 403,Los Angeles,34.0455322265625,-118.26242065429688,17
500000.0,950.0,2.0,2.0,2009,CONDO,2.0,2311 W 10th St UNIT 105,Los Angeles,34.053260803222656,-118.28211212158205,17
619000.0,1169.0,3.0,2.0,1976,CONDO,0.0,931 New Depot St APT 12A,Los Angeles,34.06625366210937,-118.24591827392578,50
399000.0,886.0,1.0,2.0,1970,CONDO,1.0,400 S La Fayette Park Pl APT 113,Los Angeles,34.06524658203125,-118.28111267089844,56
1590000.0,2140.0,4.0,3.0,1923,SINGLE_FAMILY,1.0,3325 Hamilton Way,Los Angeles,34.08720016479492,-118.27458190917967,103
1545000.0,1636.0,3.0,3.0,1926,SINGLE_FAMILY,1.0,636 N La Fayette Park Pl,Los Angeles,34.077301025390625,-118.27384185791016,100
625000.0,981.0,2.0,1.0,1921,CONDO,1.0,1395 Allison Ave,Los Angeles,34.07354736328125,-118.25232696533205,105
625000.0,1018.0,2.0,1.0,1921,CONDO,1.0,1393 Allison Ave,Los Angeles,34.07352066040039,-118.25226593017578,105
849000.0,1033.0,3.0,1.0,1922,SINGLE_FAMILY,0.0,1318 N Occidental Blvd,Los Angeles,34.083236694335945,-118.27066040039062,104
1190000.0,1820.0,3.0,3.0,2018,TOWNHOUSE,2.0,1015 Figueroa Ter APT 6,Los Angeles,34.06917953491211,-118.24546813964844,8
1199000.0,1679.0,3.0,2.0,1919,SINGLE_FAMILY,0.0,1419 N Coronado St,Los Angeles,34.08339691162109,-118.2667007446289,107
1125000.0,1566.0,2.0,3.0,2021,SINGLE_FAMILY,2.0,987 Everett St,Los Angeles,34.069835662841804,-118.24897003173828,5
1425000.0,2685.0,3.0,3.0,2021,SINGLE_FAMILY,2.0,542 N Commonwealth Ave,Los Angeles,34.08043670654297,-118.2854461669922,5
